price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
0.82,7585.0,1081.0,1081,3,2,2,2.0,1,0,0,0,0,0,0,8,0.735,36
0.95,8600.0,1105.0,1103,2,2,2,4.0,1,1,1,0,0,0,0,38,1.115,89
0.46,79.0,58228.0,58141,2,2,1,0.0,0,0,0,0,0,0,0,15,1.27,86
0.32,5470.0,585.0,1000,2,2,1,17.0,1,0,0,0,0,0,0,49,1.5,114
1.6,8020.0,1995.0,1995,3,4,3,10.0,2,0,1,0,0,1,1,174,0.82,92
0.48,9022.0,532.0,632,2,2,1,5.0,2,0,0,1,0,0,0,159,1.7,102
7.5,14018.0,5350.0,5350,4,4,3,20.0,1,0,1,0,1,1,1,49,1.5,114
2.0,8554.0,2338.0,2338,3,3,3,14.0,2,0,1,0,0,0,0,95,1.665,108
1.9,9105.0,2087.0,1889,3,4,3,8.0,2,0,1,0,0,0,0,165,1.7,102
1.2,10122.0,1186.0,1185,6,2,1,2.0,4,0,0,0,0,0,0,9,0.6,105
4.5,33333.0,1350.0,150,3,3,2,2.0,3,1,1,0,0,0,0,70,13.0,26
1.55,6567.0,2360.0,2360,3,2,0,1.0,5,0,0,0,0,0,0,0,2.175,109
1.6,14545.0,1100.0,1100,2,2,2,3.0,2,0,0,0,0,0,0,52,2.35,28
2.25,8704.0,2585.0,2585,3,4,3,14.0,2,0,1,0,0,0,0,101,2.175,109
2.77,14025.0,1975.0,1975,4,4,3,3.0,2,1,1,0,0,0,2,174,2.775,65
1.2,14184.0,846.0,846,4,4,2,2.0,2,0,0,0,1,0,1,7,1.15,12
1.55,7568.0,2048.0,1995,3,4,3,16.0,2,0,1,0,0,0,1,60,0.82,92
1.09,6666.0,1635.0,1640,2,2,3,9.0,2,0,0,1,0,0,0,174,1.3,85
1.15,11500.0,1000.0,1450,2,2,3,4.0,1,0,0,0,1,0,0,132,1.655,70
5.5,38194.0,1440.0,160,18,18,3,4.0,2,0,1,0,0,0,2,70,4.86,54
1.77,7350.0,2408.0,2408,3,4,3,7.0,1,0,0,1,0,0,0,107,1.3,85
0.85,12859.0,661.0,661,2,2,1,2.0,4,0,0,0,0,1,1,49,1.3,30
0.9,6590.0,1366.0,1366,2,2,3,10.0,2,0,0,0,0,1,1,49,0.675,107
1.2,8310.0,1444.0,1444,2,2,3,0.0,0,0,0,0,0,0,0,60,0.85,3
0.6,8163.0,735.0,735,1,1,1,5.0,3,0,0,0,0,0,1,88,1.36,2
9.0,27778.0,3240.0,360,8,5,3,3.0,4,0,1,1,1,0,1,26,7.0,41
7.0,28283.0,2475.0,275,7,7,3,3.0,3,1,1,1,1,0,2,151,7.0,41
0.9,7234.0,1244.0,1244,4,2,3,1.0,4,0,0,0,0,0,0,0,2.35,28
0.4,8889.0,450.0,50,1,1,0,1.0,3,0,0,0,0,0,0,0,0.65,4
5.65,10463.0,5400.0,600,4,4,3,2.0,1,0,1,0,0,1,1,44,2.175,109
2.15,14257.0,1508.0,1508,2,2,3,31.0,0,0,0,0,0,0,0,101,4.25,62
4.4,15278.0,2880.0,320,6,6,3,3.0,3,1,1,1,1,0,2,110,2.675,49
0.64,5261.0,1216.0,1225,2,2,3,12.0,2,0,0,0,0,0,1,93,2.205,81
2.86,14000.0,2043.0,2040,3,3,3,45.0,0,0,1,0,0,0,0,48,2.775,65
3.5,15909.0,2200.0,2200,3,3,3,7.0,3,0,1,1,0,0,1,149,3.475,66
0.7,5397.0,1297.0,1297,2,2,2,14.0,5,0,0,0,0,0,0,0,1.115,89
1.54,9221.0,1670.0,1929,3,3,3,15.0,2,0,1,0,0,0,0,174,1.27,86
0.45,12162.0,370.0,370,4,4,2,4.0,3,0,0,0,0,0,1,7,1.58,104
8.25,38194.0,2160.0,350,4,4,3,3.0,2,0,1,1,0,0,1,160,5.15,48
6.1,25103.0,2430.0,270,5,6,3,2.0,3,0,1,0,0,0,0,30,2.175,109
2.1,9130.0,2300.0,2300,4,4,3,1.0,2,0,0,0,0,0,0,58,1.7,51
1.25,7175.0,1742.0,1735,3,3,3,2.0,2,1,0,0,0,0,0,49,1.185,37
0.7,10057.0,696.0,696,2,2,2,8.0,2,0,0,0,0,0,0,68,2.65,111
2.8,13678.0,2047.0,2047,3,3,3,5.0,3,0,1,0,0,0,2,26,3.0,67
5.5,30556.0,1800.0,200,4,3,3,2.0,4,0,0,0,1,1,1,22,2.35,28
2.58,11727.0,2200.0,2200,3,4,2,10.0,3,0,1,0,0,0,0,86,2.65,111
3.0,14285.0,2100.0,2691,3,3,3,3.0,2,0,1,0,0,0,0,167,2.45,113
1.25,151.0,82781.0,115,10,6,2,3.0,4,0,0,0,0,1,0,7,1.375,13
2.1,13750.0,1527.0,1549,3,2,3,3.0,0,0,0,0,0,0,0,146,2.025,61
2.45,10786.0,2271.0,2225,3,3,3,8.0,2,0,0,0,0,0,0,110,2.45,113
